date,value
6,0.0
6,33.0
8,62.0
10,0.0
10,20.0
10,30.0
11,18.0
11,27.0
11,36.0
11,36.0
12,0.0
12,41.0
13,0.0
13,23.0
13,38.0
13,38.0
14,0.0
14,0.0
14,21.0
14,35.0
14,7.0
15,0.0
15,13.0
15,20.0
15,20.0
15,26.0
15,33.0
15,33.0
15,53.0
16,0.0
16,0.0
16,0.0
16,18.0
16,25.0
16,6.0
17,0.0
17,11.0
17,11.0
17,17.0
17,17.0
17,23.0
18,0.0
18,0.0
18,11.0
18,16.0
18,22.0
18,33.0
18,33.0
18,38.0
18,38.0
18,5.0
18,5.0
18,61.0
19,0.0
19,0.0
19,10.0
19,15.0
19,15.0
19,21.0
19,21.0
19,5.0
20,20.0
20,20.0
20,25.0
20,30.0
20,5.0
20,5.0
20,5.0
20,5.0
20,5.0
20,60.0
21,0.0
21,0.0
21,0.0
21,19.0
21,23.0
21,4.0
21,4.0
21,4.0
21,4.0
22,0.0
22,18.0
22,18.0
22,18.0
22,27.0
22,31.0
22,9.0
23,0.0
23,0.0
23,0.0
23,13.0
23,13.0
23,13.0
23,21.0
23,26.0
23,26.0
23,26.0
23,30.0
23,34.0
23,34.0
23,4.0
23,4.0
23,52.0
23,8.0
23,8.0
23,8.0
24,0.0
24,12.0
24,12.0
24,16.0
24,16.0
24,16.0
24,20.0
24,20.0
24,25.0
24,25.0
24,4.0
24,4.0
24,4.0
24,8.0
24,8.0
24,8.0
24,8.0
25,0.0
25,0.0
25,0.0
25,0.0
25,0.0
25,12.0
25,12.0
25,12.0
25,12.0
25,16.0
25,16.0
25,16.0
25,16.0
25,20.0
25,24.0
25,28.0
25,28.0
25,44.0
25,48.0
25,52.0
25,8.0
25,8.0
26,0.0
26,11.0
26,11.0
26,19.0
26,26.0
26,3.0
26,30.0
26,38.0
26,69.0
26,7.0
26,7.0
26,7.0
27,0.0
27,0.0
27,11.0
27,11.0
27,11.0
27,11.0
27,11.0
27,11.0
27,14.0
27,22.0
27,22.0
27,25.0
27,25.0
27,25.0
27,25.0
27,25.0
27,29.0
27,3.0
27,7.0
27,7.0
27,7.0
28,10.0
28,10.0
28,14.0
28,14.0
28,14.0
28,14.0
28,14.0
28,14.0
28,17.0
28,17.0
28,17.0
28,21.0
28,21.0
28,3.0
28,3.0
28,3.0
28,35.0
28,35.0
28,35.0
28,42.0
28,7.0
28,7.0
29,0.0
29,0.0
29,0.0
29,0.0
29,0.0
29,0.0
29,0.0
29,10.0
29,10.0
29,10.0
29,13.0
29,13.0
29,13.0
29,20.0
29,20.0
29,20.0
29,20.0
29,24.0
29,27.0
29,27.0
29,27.0
29,3.0
29,3.0
29,37.0
29,41.0
29,6.0
29,6.0
29,6.0
29,6.0
29,6.0
30,0.0
30,10.0
30,10.0
30,13.0
30,13.0
30,20.0
30,20.0
30,20.0
30,20.0
30,26.0
30,26.0
30,3.0
30,3.0
30,3.0
30,3.0
30,30.0
30,33.0
30,40.0
30,43.0
31,0.0
31,0.0
31,0.0
31,0.0
31,0.0
31,16.0
31,16.0
31,19.0
31,22.0
31,22.0
31,22.0
31,25.0
31,25.0
31,25.0
31,25.0
31,25.0
31,29.0
31,3.0
31,3.0
31,35.0
31,35.0
31,35.0
31,38.0
31,51.0
31,6.0
31,9.0
31,9.0
31,9.0
32,12.0
32,12.0
32,12.0
32,15.0
32,18.0
32,18.0
32,18.0
32,18.0
32,21.0
32,21.0
32,21.0
32,21.0
32,25.0
32,25.0
32,25.0
32,25.0
32,28.0
32,3.0
32,3.0
32,3.0
32,31.0
32,40.0
32,43.0
32,6.0
32,6.0
32,9.0
32,9.0
32,9.0
32,9.0
33,0.0
33,0.0
33,12.0
33,12.0
33,15.0
33,18.0
33,18.0
33,21.0
33,21.0
33,21.0
33,21.0
33,24.0
33,24.0
33,24.0
33,24.0
33,27.0
33,30.0
33,30.0
33,30.0
33,36.0
33,39.0
33,6.0
33,6.0
33,6.0
33,6.0
34,0.0
34,0.0
34,11.0
34,11.0
34,14.0
34,14.0
34,14.0
34,14.0
34,14.0
34,14.0
34,17.0
34,17.0
34,2.0
34,2.0
34,20.0
34,20.0
34,20.0
34,23.0
34,23.0
34,23.0
34,23.0
34,26.0
34,26.0
34,26.0
34,29.0
34,32.0
34,32.0
34,35.0
34,41.0
34,44.0
34,5.0
34,5.0
34,5.0
34,5.0
35,0.0
35,0.0
35,0.0
35,11.0
35,14.0
35,14.0
35,14.0
35,14.0
35,17.0
35,17.0
35,17.0
35,17.0
35,2.0
35,2.0
35,20.0
35,20.0
35,20.0
35,22.0
35,22.0
35,25.0
35,25.0
35,25.0
35,25.0
35,28.0
35,28.0
35,28.0
35,28.0
35,28.0
35,37.0
35,42.0
35,42.0
35,5.0
35,5.0
35,5.0
35,5.0
35,8.0
35,8.0
35,8.0
35,8.0
35,8.0
36,0.0
36,0.0
36,0.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,11.0
36,13.0
36,13.0
36,13.0
36,13.0
36,13.0
36,16.0
36,16.0
36,16.0
36,19.0
36,19.0
36,19.0
36,19.0
36,22.0
36,22.0
36,22.0
36,22.0
36,25.0
36,25.0
36,25.0
36,25.0
36,25.0
36,27.0
36,33.0
36,33.0
36,33.0
36,38.0
36,5.0
36,5.0
36,8.0
36,8.0
36,8.0
37,0.0
37,10.0
37,10.0
37,13.0
37,13.0
37,13.0
37,13.0
37,13.0
37,16.0
37,16.0
37,16.0
37,18.0
37,18.0
37,18.0
37,2.0
37,2.0
37,2.0
37,21.0
37,21.0
37,24.0
37,24.0
37,24.0
37,24.0
37,24.0
37,27.0
37,27.0
37,27.0
37,29.0
37,29.0
37,35.0
37,35.0
37,37.0
37,40.0
37,40.0
37,40.0
37,40.0
37,48.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,5.0
37,56.0
37,8.0
38,0.0
38,0.0
38,0.0
38,0.0
38,10.0
38,10.0
38,10.0
38,10.0
38,13.0
38,13.0
38,15.0
38,15.0
38,15.0
38,18.0
38,18.0
38,18.0
38,18.0
38,21.0
38,21.0
38,21.0
38,21.0
38,21.0
38,21.0
38,21.0
38,21.0
38,23.0
38,23.0
38,23.0
38,23.0
38,23.0
38,26.0
38,34.0
38,5.0
38,7.0
38,7.0
38,7.0
38,7.0
39,0.0
39,0.0
39,0.0
39,10.0
39,10.0
39,10.0
39,10.0
39,12.0
39,15.0
39,15.0
39,15.0
39,15.0
39,15.0
39,17.0
39,17.0
39,2.0
39,2.0
39,20.0
39,20.0
39,23.0
39,23.0
39,28.0
39,28.0
39,30.0
39,30.0
39,30.0
39,30.0
39,33.0
39,41.0
39,48.0
39,5.0
39,5.0
39,5.0
39,5.0
39,5.0
39,7.0
39,7.0
40,0.0
40,10.0
40,10.0
40,10.0
40,12.0
40,12.0
40,12.0
40,12.0
40,12.0
40,12.0
40,15.0
40,15.0
40,15.0
40,15.0
40,17.0
40,17.0
40,17.0
40,17.0
40,17.0
40,2.0
40,2.0
40,20.0
40,20.0
40,20.0
40,20.0
40,20.0
40,22.0
40,22.0
40,25.0
40,30.0
40,30.0
40,32.0
40,32.0
40,32.0
40,37.0
40,37.0
40,37.0
40,5.0
40,5.0
40,5.0
40,50.0
40,7.0
40,7.0
40,7.0
40,7.0
40,7.0
40,7.0
41,0.0
41,0.0
41,12.0
41,12.0
41,12.0
41,12.0
41,14.0
41,17.0
41,17.0
41,17.0
41,19.0
41,2.0
41,21.0
41,21.0
41,21.0
41,24.0
41,24.0
41,26.0
41,29.0
41,31.0
41,31.0
41,34.0
41,36.0
41,36.0
41,4.0
41,43.0
41,7.0
41,7.0
41,7.0
41,9.0
41,9.0
42,0.0
42,11.0
42,11.0
42,11.0
42,11.0
42,11.0
42,11.0
42,11.0
42,14.0
42,14.0
42,14.0
42,14.0
42,14.0
42,14.0
42,16.0
42,16.0
42,16.0
42,16.0
42,19.0
42,19.0
42,19.0
42,19.0
42,2.0
42,2.0
42,2.0
42,2.0
42,21.0
42,23.0
42,23.0
42,28.0
42,28.0
42,30.0
42,30.0
42,30.0
42,33.0
42,33.0
42,35.0
42,35.0
42,38.0
42,4.0
42,4.0
42,4.0
42,40.0
42,7.0
42,7.0
42,7.0
42,7.0
43,0.0
43,11.0
43,11.0
43,11.0
43,11.0
43,13.0
43,13.0
43,13.0
43,13.0
43,13.0
43,16.0
43,16.0
43,16.0
43,16.0
43,18.0
43,18.0
43,18.0
43,18.0
43,18.0
43,20.0
43,20.0
43,20.0
43,20.0
43,23.0
43,23.0
43,23.0
43,25.0
43,25.0
43,25.0
43,25.0
43,27.0
43,30.0
43,32.0
43,4.0
43,4.0
43,4.0
43,55.0
43,6.0
43,6.0
43,6.0
43,6.0
43,6.0
43,9.0
43,9.0
43,9.0
43,9.0
44,0.0
44,0.0
44,0.0
44,11.0
44,11.0
44,13.0
44,13.0
44,13.0
44,13.0
44,15.0
44,15.0
44,15.0
44,15.0
44,15.0
44,15.0
44,15.0
44,15.0
44,18.0
44,18.0
44,18.0
44,18.0
44,20.0
44,20.0
44,20.0
44,20.0
44,20.0
44,20.0
44,22.0
44,22.0
44,22.0
44,22.0
44,25.0
44,25.0
44,25.0
44,27.0
44,27.0
44,29.0
44,29.0
44,31.0
44,31.0
44,34.0
44,34.0
44,36.0
44,4.0
44,43.0
44,6.0
44,6.0
44,6.0
44,6.0
44,6.0
44,6.0
44,9.0
44,9.0
44,9.0
44,9.0
44,9.0
44,9.0
44,9.0
45,0.0
45,0.0
45,11.0
45,11.0
45,11.0
45,11.0
45,11.0
45,13.0
45,15.0
45,15.0
45,15.0
45,15.0
45,15.0
45,15.0
45,17.0
45,17.0
45,2.0
45,2.0
45,2.0
45,20.0
45,20.0
45,20.0
45,20.0
45,22.0
45,22.0
45,24.0
45,24.0
45,24.0
45,26.0
45,26.0
45,28.0
45,28.0
45,28.0
45,28.0
45,28.0
45,33.0
45,33.0
45,33.0
45,35.0
45,37.0
45,37.0
45,4.0
45,40.0
45,8.0
45,8.0
46,0.0
46,0.0
46,10.0
46,10.0
46,13.0
46,15.0
46,15.0
46,15.0
46,17.0
46,17.0
46,17.0
46,17.0
46,19.0
46,19.0
46,19.0
46,19.0
46,2.0
46,2.0
46,2.0
46,21.0
46,21.0
46,21.0
46,21.0
46,21.0
46,23.0
46,23.0
46,23.0
46,23.0
46,26.0
46,26.0
46,26.0
46,26.0
46,28.0
46,28.0
46,28.0
46,30.0
46,30.0
46,30.0
46,32.0
46,32.0
46,32.0
46,32.0
46,32.0
46,34.0
46,36.0
46,39.0
46,4.0
46,4.0
46,50.0
46,6.0
46,6.0
46,8.0
46,8.0
46,8.0
46,8.0
46,8.0
47,0.0
47,12.0
47,12.0
47,14.0
47,14.0
47,17.0
47,17.0
47,17.0
47,17.0
47,17.0
47,17.0
47,19.0
47,2.0
47,2.0
47,2.0
47,21.0
47,21.0
47,21.0
47,23.0
47,23.0
47,23.0
47,25.0
47,25.0
47,25.0
47,25.0
47,29.0
47,31.0
47,31.0
47,38.0
47,38.0
47,38.0
47,4.0
47,4.0
47,44.0
47,6.0
47,6.0
47,6.0
47,8.0
47,8.0
47,8.0
47,8.0
47,8.0
48,10.0
48,10.0
48,10.0
48,12.0
48,12.0
48,12.0
48,12.0
48,12.0
48,14.0
48,14.0
48,14.0
48,14.0
48,14.0
48,16.0
48,16.0
48,18.0
48,18.0
48,18.0
48,2.0
48,20.0
48,20.0
48,22.0
48,22.0
48,22.0
48,22.0
48,22.0
48,25.0
48,25.0
48,27.0
48,31.0
48,31.0
48,33.0
48,33.0
48,35.0
48,37.0
48,39.0
48,39.0
48,4.0
48,43.0
48,43.0
48,6.0
48,6.0
48,8.0
49,0.0
49,0.0
49,10.0
49,10.0
49,10.0
49,10.0
49,10.0
49,10.0
49,12.0
49,12.0
49,12.0
49,14.0
49,16.0
49,18.0
49,18.0
49,18.0
49,18.0
49,18.0
49,20.0
49,20.0
49,22.0
49,22.0
49,22.0
49,24.0
49,24.0
49,26.0
49,26.0
49,26.0
49,26.0
49,26.0
49,26.0
49,26.0
49,28.0
49,30.0
49,32.0
49,32.0
49,32.0
49,34.0
49,34.0
49,36.0
49,38.0
49,4.0
49,4.0
49,6.0
49,6.0
49,6.0
50,0.0
50,10.0
50,10.0
50,10.0
50,10.0
50,10.0
50,12.0
50,12.0
50,12.0
50,12.0
50,12.0
50,14.0
50,14.0
50,14.0
50,14.0
50,14.0
50,14.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,16.0
50,18.0
50,20.0
50,20.0
50,22.0
50,22.0
50,22.0
50,22.0
50,24.0
50,24.0
50,26.0
50,28.0
50,28.0
50,28.0
50,30.0
50,30.0
50,30.0
50,32.0
50,32.0
50,36.0
50,4.0
50,4.0
50,40.0
50,42.0
50,6.0
50,6.0
50,6.0
50,6.0
50,8.0
50,8.0
51,0.0
51,11.0
51,13.0
51,13.0
51,13.0
51,13.0
51,13.0
51,15.0
51,15.0
51,15.0
51,17.0
51,17.0
51,17.0
51,17.0
51,17.0
51,17.0
51,21.0
51,21.0
51,21.0
51,21.0
51,23.0
51,23.0
51,25.0
51,25.0
51,25.0
51,27.0
51,27.0
51,29.0
51,3.0
51,3.0
51,31.0
51,33.0
51,33.0
51,35.0
51,35.0
51,39.0
51,41.0
51,5.0
51,7.0
51,7.0
51,7.0
51,7.0
51,9.0
52,0.0
52,11.0
52,11.0
52,11.0
52,11.0
52,11.0
52,13.0
52,13.0
52,13.0
52,13.0
52,13.0
52,15.0
52,15.0
52,15.0
52,17.0
52,17.0
52,17.0
52,17.0
52,19.0
52,19.0
52,19.0
52,19.0
52,21.0
52,21.0
52,21.0
52,23.0
52,26.0
52,26.0
52,26.0
52,28.0
52,32.0
52,32.0
52,32.0
52,32.0
52,36.0
52,38.0
52,40.0
52,40.0
52,42.0
52,5.0
52,5.0
52,5.0
52,5.0
52,7.0
52,7.0
52,7.0
52,7.0
52,9.0
52,9.0
53,1.0
53,11.0
53,11.0
53,11.0
53,13.0
53,13.0
53,13.0
53,13.0
53,15.0
53,15.0
53,15.0
53,15.0
53,15.0
53,15.0
53,15.0
53,16.0
53,16.0
53,16.0
53,18.0
53,18.0
53,18.0
53,18.0
53,18.0
53,18.0
53,18.0
53,20.0
53,20.0
53,20.0
53,20.0
53,20.0
53,22.0
53,22.0
53,22.0
53,22.0
53,22.0
53,24.0
53,24.0
53,24.0
53,24.0
53,26.0
53,26.0
53,26.0
53,28.0
53,28.0
53,28.0
53,28.0
53,28.0
53,28.0
53,28.0
53,30.0
53,30.0
53,30.0
53,30.0
53,30.0
53,33.0
53,35.0
53,37.0
53,43.0
53,47.0
53,5.0
53,5.0
53,5.0
53,7.0
53,7.0
53,9.0
53,9.0
53,9.0
53,9.0
53,9.0
53,9.0
53,9.0
53,9.0
53,9.0
54,1.0
54,1.0
54,11.0
54,11.0
54,11.0
54,11.0
54,11.0
54,12.0
54,12.0
54,12.0
54,12.0
54,12.0
54,12.0
54,14.0
54,14.0
54,14.0
54,14.0
54,14.0
54,16.0
54,16.0
54,16.0
54,16.0
54,18.0
54,18.0
54,18.0
54,20.0
54,20.0
54,20.0
54,20.0
54,22.0
54,22.0
54,22.0
54,22.0
54,24.0
54,24.0
54,24.0
54,24.0
54,24.0
54,25.0
54,25.0
54,27.0
54,27.0
54,27.0
54,3.0
54,3.0
54,33.0
54,33.0
54,33.0
54,33.0
54,35.0
54,38.0
54,38.0
54,40.0
54,48.0
54,5.0
54,5.0
