date,value
8,0.0
11,0.0
11,0.0
13,0.0
14,0.0
15,0.0
15,6.0
16,0.0
16,0.0
16,6.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,9.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,4.0
24,0.0
24,0.0
25,0.0
25,0.0
25,4.0
26,0.0
26,0.0
27,0.0
27,0.0
27,0.0
27,0.0
27,0.0
28,0.0
28,28.0
29,0.0
29,0.0
29,0.0
29,0.0
29,20.0
29,24.0
30,0.0
30,0.0
30,0.0
31,0.0
31,0.0
31,3.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
32,0.0
33,0.0
33,0.0
33,0.0
33,0.0
33,0.0
34,0.0
34,0.0
34,0.0
34,0.0
34,2.0
34,5.0
35,0.0
35,0.0
35,0.0
35,2.0
36,0.0
36,0.0
36,0.0
36,0.0
36,0.0
36,0.0
36,0.0
36,0.0
36,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,0.0
37,2.0
37,2.0
38,0.0
38,0.0
38,0.0
38,0.0
38,2.0
38,5.0
38,5.0
39,0.0
39,0.0
39,0.0
39,0.0
39,0.0
39,0.0
39,20.0
39,5.0
40,0.0
40,0.0
40,0.0
40,0.0
40,0.0
40,0.0
40,10.0
40,2.0
40,5.0
41,0.0
41,9.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,0.0
42,2.0
43,0.0
43,0.0
43,0.0
43,0.0
43,0.0
43,0.0
44,0.0
44,0.0
44,0.0
44,0.0
44,0.0
44,0.0
44,0.0
44,2.0
45,0.0
45,0.0
45,0.0
45,0.0
45,0.0
45,0.0
45,0.0
45,0.0
45,11.0
45,2.0
45,4.0
46,0.0
46,0.0
46,0.0
46,0.0
46,0.0
46,0.0
46,0.0
46,0.0
47,0.0
47,0.0
47,0.0
47,0.0
47,2.0
47,2.0
48,0.0
48,0.0
48,0.0
48,0.0
48,0.0
48,2.0
49,0.0
49,0.0
49,0.0
49,0.0
49,0.0
49,2.0
49,2.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,0.0
50,2.0
51,0.0
51,0.0
51,0.0
51,0.0
51,0.0
51,1.0
52,0.0
52,0.0
52,0.0
52,1.0
52,1.0
52,1.0
53,0.0
53,0.0
53,0.0
53,0.0
53,0.0
53,0.0
53,1.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,0.0
54,1.0
54,11.0
55,0.0
55,0.0
55,0.0
55,0.0
55,1.0
55,1.0
55,1.0
55,10.0
55,5.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,0.0
56,12.0
56,3.0
56,5.0
57,0.0
57,0.0
57,0.0
57,0.0
57,0.0
57,0.0
57,1.0
57,1.0
57,1.0
57,3.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,0.0
58,3.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,0.0
59,1.0
59,10.0
59,8.0
60,0.0
60,0.0
60,0.0
60,0.0
60,0.0
60,0.0
60,0.0
60,0.0
60,1.0
60,1.0
60,1.0
60,6.0
60,6.0
61,0.0
61,0.0
61,0.0
61,0.0
61,0.0
61,0.0
61,0.0
61,0.0
61,1.0
61,1.0
61,24.0
62,0.0
62,0.0
62,0.0
62,0.0
62,0.0
62,0.0
62,1.0
62,1.0
62,40.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,0.0
63,1.0
63,1.0
63,12.0
63,3.0
63,3.0
63,6.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,0.0
64,1.0
64,1.0
64,34.0
64,51.0
65,0.0
65,0.0
65,0.0
65,0.0
65,0.0
65,0.0
65,1.0
65,1.0
65,4.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,0.0
66,1.0
66,1.0
66,1.0
66,1.0
66,7.0
67,0.0
67,0.0
67,0.0
67,0.0
67,0.0
67,0.0
67,0.0
68,0.0
68,0.0
68,0.0
68,0.0
68,0.0
68,0.0
68,0.0
68,1.0
68,1.0
68,1.0
68,1.0
68,1.0
68,26.0
68,4.0
69,0.0
69,0.0
69,0.0
69,0.0
69,0.0
69,0.0
69,0.0
69,0.0
69,0.0
69,1.0
69,1.0
69,11.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,0.0
70,1.0
70,1.0
70,2.0
70,41.0
71,0.0
71,0.0
71,0.0
71,0.0
71,0.0
71,0.0
71,0.0
71,0.0
71,1.0
71,1.0
71,11.0
71,2.0
72,0.0
72,0.0
72,0.0
72,0.0
72,0.0
72,0.0
72,0.0
72,0.0
72,0.0
72,1.0
73,0.0
