date,value
6,0.0
6,0.0
8,0.0
10,0.0
10,0.0
10,20.0
11,0.0
11,0.0
11,27.0
11,9.0
12,0.0
12,8.0
13,0.0
13,15.0
13,23.0
13,7.0
14,0.0
14,0.0
14,0.0
14,21.0
14,21.0
15,0.0
15,20.0
15,33.0
15,46.0
15,6.0
15,6.0
15,6.0
15,6.0
16,12.0
16,12.0
16,18.0
16,18.0
16,25.0
16,50.0
17,0.0
17,29.0
17,29.0
17,5.0
17,5.0
17,5.0
18,0.0
18,0.0
18,0.0
18,11.0
18,11.0
18,11.0
18,16.0
18,22.0
18,27.0
18,5.0
18,61.0
19,10.0
19,10.0
19,21.0
19,21.0
19,36.0
19,36.0
19,42.0
19,5.0
20,0.0
20,0.0
20,10.0
20,15.0
20,15.0
20,20.0
20,25.0
20,30.0
20,35.0
20,5.0
21,0.0
21,0.0
21,14.0
21,14.0
21,19.0
21,19.0
21,28.0
21,28.0
21,42.0
22,0.0
22,13.0
22,18.0
22,18.0
22,18.0
22,4.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,0.0
23,13.0
23,13.0
23,13.0
23,13.0
23,17.0
23,17.0
23,21.0
23,30.0
23,4.0
23,8.0
23,8.0
23,8.0
23,8.0
24,0.0
24,0.0
24,0.0
24,12.0
24,12.0
24,12.0
24,12.0
24,16.0
24,20.0
24,20.0
24,20.0
24,4.0
24,4.0
24,4.0
24,41.0
24,41.0
24,8.0
25,0.0
25,0.0
25,12.0
25,12.0
25,16.0
25,16.0
25,16.0
25,20.0
25,20.0
25,24.0
25,4.0
25,4.0
25,4.0
25,4.0
25,4.0
25,4.0
25,4.0
25,44.0
25,72.0
25,8.0
25,8.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,0.0
26,11.0
26,11.0
26,15.0
26,19.0
26,3.0
26,7.0
27,0.0
27,11.0
27,11.0
27,18.0
27,18.0
27,18.0
27,22.0
27,22.0
27,25.0
27,25.0
27,25.0
27,25.0
27,25.0
27,3.0
27,3.0
27,3.0
27,33.0
27,33.0
27,62.0
27,7.0
27,7.0
28,0.0
28,0.0
28,0.0
28,10.0
28,10.0
28,10.0
28,14.0
28,14.0
28,21.0
28,28.0
28,28.0
28,3.0
28,3.0
28,3.0
28,3.0
28,32.0
28,35.0
28,42.0
28,7.0
28,7.0
28,7.0
29,0.0
29,0.0
29,0.0
29,10.0
29,10.0
29,10.0
29,13.0
29,13.0
29,17.0
29,17.0
29,17.0
29,17.0
29,17.0
29,20.0
29,24.0
29,24.0
29,24.0
29,27.0
29,3.0
29,3.0
29,3.0
29,31.0
29,34.0
29,41.0
29,51.0
29,55.0
29,6.0
29,6.0
29,6.0
30,0.0
30,0.0
30,0.0
30,0.0
30,10.0
30,10.0
30,10.0
30,13.0
30,13.0
30,13.0
30,13.0
30,16.0
30,16.0
30,23.0
30,26.0
30,3.0
30,50.0
30,6.0
30,6.0
31,0.0
31,0.0
31,12.0
31,12.0
31,16.0
31,16.0
31,16.0
31,16.0
31,16.0
31,16.0
31,16.0
31,19.0
31,19.0
31,25.0
31,3.0
31,3.0
31,3.0
31,3.0
31,48.0
31,6.0
31,6.0
31,6.0
31,67.0
31,9.0
31,9.0
31,9.0
31,9.0
31,9.0
32,0.0
32,0.0
32,0.0
32,12.0
32,15.0
32,15.0
32,15.0
32,15.0
32,15.0
32,18.0
